Country,Cases,Status,date_cleaned,new_cases,growth_rate
Singapore,1,confirmed,2020-01-23,0.0,0.0
Singapore,3,confirmed,2020-01-24,2.0,0.6666666666666666
Singapore,3,confirmed,2020-01-25,0.0,0.0
Singapore,4,confirmed,2020-01-26,1.0,0.25
Singapore,5,confirmed,2020-01-27,1.0,0.2
Singapore,7,confirmed,2020-01-28,2.0,0.2857142857142857
Singapore,7,confirmed,2020-01-29,0.0,0.0
Singapore,10,confirmed,2020-01-30,3.0,0.3
Singapore,13,confirmed,2020-01-31,3.0,0.23076923076923078
Singapore,16,confirmed,2020-02-01,3.0,0.1875
Singapore,18,confirmed,2020-02-02,2.0,0.1111111111111111
Singapore,18,confirmed,2020-02-03,0.0,0.0
Singapore,24,confirmed,2020-02-04,6.0,0.25
Singapore,28,confirmed,2020-02-05,4.0,0.14285714285714285
Singapore,28,confirmed,2020-02-06,0.0,0.0
Singapore,30,confirmed,2020-02-07,2.0,0.06666666666666667
Singapore,33,confirmed,2020-02-08,3.0,0.09090909090909091
Singapore,40,confirmed,2020-02-09,7.0,0.175
Singapore,45,confirmed,2020-02-10,5.0,0.1111111111111111
Singapore,47,confirmed,2020-02-11,2.0,0.0425531914893617
Singapore,50,confirmed,2020-02-12,3.0,0.06
Singapore,58,confirmed,2020-02-13,8.0,0.13793103448275862
Singapore,67,confirmed,2020-02-14,9.0,0.13432835820895522
Singapore,72,confirmed,2020-02-15,5.0,0.06944444444444445
Singapore,75,confirmed,2020-02-16,3.0,0.04
Singapore,77,confirmed,2020-02-17,2.0,0.025974025974025976
Singapore,81,confirmed,2020-02-18,4.0,0.04938271604938271
Singapore,84,confirmed,2020-02-19,3.0,0.03571428571428571
Singapore,84,confirmed,2020-02-20,0.0,0.0
Singapore,85,confirmed,2020-02-21,1.0,0.011764705882352941
Singapore,85,confirmed,2020-02-22,0.0,0.0
Singapore,89,confirmed,2020-02-23,4.0,0.0449438202247191
Singapore,89,confirmed,2020-02-24,0.0,0.0
Singapore,91,confirmed,2020-02-25,2.0,0.02197802197802198
Singapore,93,confirmed,2020-02-26,2.0,0.021505376344086023
Singapore,93,confirmed,2020-02-27,0.0,0.0
Singapore,93,confirmed,2020-02-28,0.0,0.0
Singapore,102,confirmed,2020-02-29,9.0,0.08823529411764706
Singapore,106,confirmed,2020-03-01,4.0,0.03773584905660377
Singapore,108,confirmed,2020-03-02,2.0,0.018518518518518517
Singapore,110,confirmed,2020-03-03,2.0,0.01818181818181818
Singapore,110,confirmed,2020-03-04,0.0,0.0
Singapore,117,confirmed,2020-03-05,7.0,0.05982905982905983
Singapore,130,confirmed,2020-03-06,13.0,0.1
Singapore,138,confirmed,2020-03-07,8.0,0.057971014492753624
Singapore,150,confirmed,2020-03-08,12.0,0.08
Singapore,150,confirmed,2020-03-09,0.0,0.0
Singapore,160,confirmed,2020-03-10,10.0,0.0625
Singapore,178,confirmed,2020-03-11,18.0,0.10112359550561797
Singapore,178,confirmed,2020-03-12,0.0,0.0
Singapore,200,confirmed,2020-03-13,22.0,0.11
Singapore,212,confirmed,2020-03-14,12.0,0.05660377358490566
Singapore,226,confirmed,2020-03-15,14.0,0.061946902654867256
Singapore,243,confirmed,2020-03-16,17.0,0.06995884773662552
Singapore,266,confirmed,2020-03-17,23.0,0.08646616541353383
Singapore,313,confirmed,2020-03-18,47.0,0.1501597444089457
Singapore,345,confirmed,2020-03-19,32.0,0.0927536231884058
Singapore,385,confirmed,2020-03-20,40.0,0.1038961038961039
Singapore,432,confirmed,2020-03-21,47.0,0.1087962962962963
Singapore,455,confirmed,2020-03-22,23.0,0.05054945054945055
Singapore,509,confirmed,2020-03-23,54.0,0.10609037328094302
Singapore,558,confirmed,2020-03-24,49.0,0.08781362007168458
Singapore,631,confirmed,2020-03-25,73.0,0.11568938193343899
Singapore,683,confirmed,2020-03-26,52.0,0.07613469985358712
Singapore,732,confirmed,2020-03-27,49.0,0.06693989071038252
